ANNO;CODICE_MESE;NOME_MESE;CODICE_PRODOTTO;NOME_PRODOTTO;PREZZO;IVA;ACCISA;NETTO
2006;5;Maggio;2;Gasolio auto;1.204,87;200,81;413;591,06
2006;6;Giugno;2;Gasolio auto;1.197;199,5;413;584,5
2006;7;Luglio;2;Gasolio auto;1.203,07;200,51;413;589,56
2006;8;Agosto;2;Gasolio auto;1.206,67;201,11;413;592,56
2006;9;Settembre;2;Gasolio auto;1.168,81;194,8;413;561,01
2006;10;Ottobre;2;Gasolio auto;1.119,64;186,61;415,23;517,81
2006;11;Novembre;2;Gasolio auto;1.115,58;185,93;416;513,66
2006;12;Dicembre;2;Gasolio auto;1.113,87;185,64;416;512,23
2007;1;Gennaio;2;Gasolio auto;1.099,4;183,23;416;500,17
2007;2;Febbraio;2;Gasolio auto;1.082,64;180,44;416;486,2
2007;3;Marzo;2;Gasolio auto;1.105,33;184,22;416;505,11
2007;4;Aprile;2;Gasolio auto;1.120,63;186,77;416;517,86
2007;5;Maggio;2;Gasolio auto;1.131;188,5;416;526,5
2007;6;Giugno;2;Gasolio auto;1.150,31;191,72;422,3;536,29
2007;7;Luglio;2;Gasolio auto;1.161,84;193,64;423;545,2
2007;8;Agosto;2;Gasolio auto;1.173,59;195,6;423;554,99
2007;9;Settembre;2;Gasolio auto;1.180,67;196,78;423;560,89
2007;10;Ottobre;2;Gasolio auto;1.205,28;200,88;423;581,4
2007;11;Novembre;2;Gasolio auto;1.252,41;208,74;423;620,67
2007;12;Dicembre;2;Gasolio auto;1.286,11;214,35;423;648,76
2008;1;Gennaio;2;Gasolio auto;1.277,74;212,96;423;641,78
2008;2;Febbraio;2;Gasolio auto;1.271,89;211,98;423;636,91
2008;3;Marzo;2;Gasolio auto;1.332,28;222,04;422,46;687,78
2008;4;Aprile;2;Gasolio auto;1.345,5;224,25;406,17;715,08
2008;5;Maggio;2;Gasolio auto;1.443,16;240,53;420,83;781,8
2008;6;Giugno;2;Gasolio auto;1.507,25;251,21;423;833,04
2008;7;Luglio;2;Gasolio auto;1.518,14;253,02;423;842,11
2008;8;Agosto;2;Gasolio auto;1.436,88;239,48;423;774,4
2008;9;Settembre;2;Gasolio auto;1.383,87;230,65;423;730,23
2008;10;Ottobre;2;Gasolio auto;1.301,48;216,91;423;661,57
2008;11;Novembre;2;Gasolio auto;1.194,82;199,14;423;572,69
2008;12;Dicembre;2;Gasolio auto;1.092,9;182,15;423;487,75
2009;1;Gennaio;2;Gasolio auto;1.051,4;175,23;423;453,17
2009;2;Febbraio;2;Gasolio auto;1.056,72;176,12;423;457,6
2009;3;Marzo;2;Gasolio auto;1.022,79;170,46;423;429,33
2009;4;Aprile;2;Gasolio auto;1.041,44;173,57;423;444,87
2009;5;Maggio;2;Gasolio auto;1.061,58;176,93;423;461,65
2009;6;Giugno;2;Gasolio auto;1.096,02;182,67;423;490,35
2009;7;Luglio;2;Gasolio auto;1.086,2;181,03;423;482,17
2009;8;Agosto;2;Gasolio auto;1.117,38;186,23;423;508,15
2009;9;Settembre;2;Gasolio auto;1.096,09;182,68;423;490,41
2009;10;Ottobre;2;Gasolio auto;1.095,73;182,62;423;490,11
2009;11;Novembre;2;Gasolio auto;1.126,04;187,67;423;515,36
2009;12;Dicembre;2;Gasolio auto;1.114,67;185,78;423;505,89
2010;1;Gennaio;2;Gasolio auto;1.145,25;190,87;423;531,37
2010;2;Febbraio;2;Gasolio auto;1.142,32;190,38;423;528,94
2010;3;Marzo;2;Gasolio auto;1.189,58;198,26;423;568,32
2010;4;Aprile;2;Gasolio auto;1.215,83;202,64;423;590,19
2010;5;Maggio;2;Gasolio auto;1.241,21;206,87;423;611,34
2010;6;Giugno;2;Gasolio auto;1.236,3;206,05;423;607,25
2010;7;Luglio;2;Gasolio auto;1.215,31;202,55;423;589,76
2010;8;Agosto;2;Gasolio auto;1.211,44;201,91;423;586,53
2010;9;Settembre;2;Gasolio auto;1.217,18;202,86;423;591,32
2010;10;Ottobre;2;Gasolio auto;1.221,46;203,58;423;594,89
2010;11;Novembre;2;Gasolio auto;1.242,84;207,14;423;612,7
2010;12;Dicembre;2;Gasolio auto;1.286,38;214,4;423;648,99
2011;1;Gennaio;2;Gasolio auto;1.328,14;221,36;423;683,78
2011;2;Febbraio;2;Gasolio auto;1.351,26;225,21;423;703,05
2011;3;Marzo;2;Gasolio auto;1.416,73;236,12;423;757,61
2011;4;Aprile;2;Gasolio auto;1.448,06;241,34;427,87;778,85
2011;5;Maggio;2;Gasolio auto;1.423,26;237,21;430,3;755,76
2011;6;Giugno;2;Gasolio auto;1.402,52;233,75;430,3;738,46
2011;7;Luglio;2;Gasolio auto;1.450,28;241,71;472,2;736,37
2011;8;Agosto;2;Gasolio auto;1.461,04;243,51;472,2;745,34
2011;9;Settembre;2;Gasolio auto;1.465,79;248,39;472,2;745,2
2011;10;Ottobre;2;Gasolio auto;1.483,92;257,54;472,2;754,18
2011;11;Novembre;2;Gasolio auto;1.512,89;262,57;481,1;769,22
2011;12;Dicembre;2;Gasolio auto;1.631,65;283,18;571,5;776,97
2012;1;Gennaio;2;Gasolio auto;1.671,71;290,13;593,2;788,37
2012;2;Febbraio;2;Gasolio auto;1.692,94;293,81;593,2;805,92
2012;3;Marzo;2;Gasolio auto;1.724,27;299,25;593,2;831,82
2012;4;Aprile;2;Gasolio auto;1.735,05;301,12;593,2;840,72
2012;5;Maggio;2;Gasolio auto;1.703,01;295,56;593,2;814,25
2012;6;Giugno;2;Gasolio auto;1.657,23;287,62;606,53;763,08
2012;7;Luglio;2;Gasolio auto;1.647,02;285,85;613,2;747,98
2012;8;Agosto;2;Gasolio auto;1.716,81;297,96;614,83;804,03
2012;9;Settembre;2;Gasolio auto;1.764,22;306,19;617,4;840,63
2012;10;Ottobre;2;Gasolio auto;1.745,65;302,96;617,4;825,29
2012;11;Novembre;2;Gasolio auto;1.712,85;297,27;617,4;798,18
2012;12;Dicembre;2;Gasolio auto;1.701,11;295,23;617,4;788,48
2013;1;Gennaio;2;Gasolio auto;1.694,38;294,06;617,4;782,91
2013;2;Febbraio;2;Gasolio auto;1.699,67;294,98;617,4;787,29
2013;3;Marzo;2;Gasolio auto;1.693,94;293,99;617,4;782,55
2013;4;Aprile;2;Gasolio auto;1.651,11;286,56;617,4;747,15
2013;5;Maggio;2;Gasolio auto;1.612,31;279,82;617,4;715,09
2013;6;Giugno;2;Gasolio auto;1.626,46;282,28;617,4;726,78
2013;7;Luglio;2;Gasolio auto;1.644,02;285,33;617,4;741,29
